106923 -186 254 -5392
106925 -186 254 -4892
106930 -186 254 -4391
106942 -186 254 -3892
106944 -186 254 -3392
106946 -186 254 -2891
106948 -186 254 -2391
106950 -186 254 -1890
106952 -186 254 -1391
106954 -186 254 -891
106956 -186 254 -391
106958 -186 254 109
106960 -186 254 500
106962 -186 254 1000
106964 -186 254 1500
106965 -186 254 1500
106967 -186 254 2000
106969 -186 254 2500
106971 -186 254 3000
106973 -186 254 3500
106975 -186 254 4000
106977 -186 254 4500
106979 -186 254 5000
106981 -186 254 5500
106985 -186 254 6000
106991 -186 254 0
106992 -6 0 109
106994 -8 -997 109
106996 -7 -2000 108
106998 -6 -2997 104
107000 -4 -3993 101
107002 -2 -5007 95
107004 -2 5000 98
107006 -4 3973 102
107008 -6 2981 106
107010 -8 1987.7 -0.179
107012 -9.2 995.2 0.3
107014 -9.8 497.3 0.1
107016 -8.5 1493.7 0.3
107018 -6.9 2486.8 -1.89
107020 -5.4 1992.1 1989
107022 -9.9 2776.6 -2839.1
107024 -10.3 3227.4 -3324.9
107026 -5 3496.8 -5.9
107028 -2.6 4504.6 -8.3
107030  -7.8 -499.8 0.19
107033 -7.4 -1494 -0.69
107035 -6.3 -2486.3 -2.1
107037 -8.4 -2831.1 -2389.8
107039 -9.4 -3136.8 -3212.5
107041 -4.5 -2097.7 2107
107043 -4.4 -3476.5 -5.3
107045 -2.8 -4498.9 -10.1
107047 -1.8 -4873.9 -11.5
107049 -121.6 80.4 6497.7
107051 -123.1 124.8 7000
107053 -124.4 152.5 7500.2
107055 -5.1 -0.5 -0.8
107056 -5.1 -0.5 -0.8
107058 -8.6 996.5 -0.1
107060 -7.5 1990 -0.9
107062 -7.8 -997.2 -0.1
107064 -7.2 -1989.7 -1.2
107071 1 8 -1
107075 -4997 2.4 -12
107077 -4003 5.4 -7.5
107079 -3004 8 -3
107081 -1999.9 10.8 -0.8
107083 -995 11.3 0
107085 997.5 10.6 0
107087 2009.8 9.8 0.8
107089 3002 7.3 2.2
107091 4002.2 4.4 -7.3
107093 5004.1 2.3 -8.4
107095 4502.4 3.3 -8.1
107098 2091.4 6.1 2099
107100 2824.9 13.4 -2839.8
107102 3245.9 13.8 -3264.7
107104 -3250.2 13.6 -3265.1
107106 -2834.1 13.9 -2839.5
107108 -2111 6.4 2096.6
107110 -4489.6 4 -10.4
107112 -2772.3 16.3 -4774
107114 2771.4 15.6 -4773.4
107116 3510.2 5.7 -3.9
107118 2503.2 8.7 2.3
107120 -3476.8 6.7 -4.8
