-5999,807.085,
-5500,1110.2,
-5000, 1280.9,
-4000, 1343.36,
-3000, 1357.75,
-2000, 1350.21,
-1000, 1340.12,
1000, 1330.38,
2000, 1330.32,
3000, 1319.42,
4000, 1275.11,
5000, 1155.86,
5999, 873.698,
