6863.91,4118.88,-2545.78
6863.8,4274.25,-2294.6
6716.57,4219.17,-2781.18
6716.47,4374.54,-2530
6569.05,4474.47,-2765.43
5941.06,3821.79,-4522.73
6078.67,3562.4,-4553.93
6000.23,3992.84,-4289.4
6137.89,3733.65,-4320.9
6275.51,3474.26,-4352.1
6196.82,3904.94,-4087.66
6334.44,3645.55,-4118.86
6411.13,4756.23,-2686.35
6556.76,4656.92,-2449.21
6702.53,4557.62,-2212.48
6848.02,4458.36,-1975.54
6993.83,4359.2,-1738.49
6391.21,4900.55,-2429.33
6536.7,4801.29,-2192.39
6682.47,4701.98,-1955.66
6828.14,4602.87,-1718.82
6371.14,5044.92,-2172.51
-99999,-99999,-99999
6662.59,4846.5,-1698.94
-99999,-99999,-99999
6497.03,5090.13,-1679.06
5585.96,4916.74,-3929.72
6135.03,4539.32,-3521.6
5945.9,4608.2,-3737.65
5756.78,4677.08,-3953.71
6116.59,4368.59,-3761.85
5927.46,4437.47,-3977.91
6098.11,4197.66,-4001.81
6153.5,5041.7,-2745.32
5756.66,5628.08,-2415.2
5945.78,5404.04,-2450.21
6134.9,5179.99,-2485.21
5927.5,5542.43,-2189.99
6116.62,5318.38,-2224.99
6098.01,5456.67,-1964.88
5337.02,6056.3,-2378.51
5325.71,6293.78,-1634.22
5403.75,6150.12,-1880.12
5481.78,6006.46,-2126.01
5548.6,6100.16,-1627.82
5626.64,5956.5,-1873.72
5771.25,5906.46,-1621.16
6722.66,840.77,5012.27
6575.03,1044.13,5167.46
6871.6,919.77,4769.69
6723.88,1122.84,4925.06
6576.25,1326.2,5080.24
7020.44,998.49,4527.28
6872.82,1201.85,4682.47
8314.83,805.75,-1018.6
8344.14,977.66,-257.1
8344.14,822.5,-508.16
8344.13,667.1,-759.32
8373.7,683.94,-249.11
8373.69,528.54,-500.27
8403.01,390.23,-241.13
8294.32,1462.97,51.38
8324.96,1169.27,57.22
8355.85,875.79,63.17
8386.47,582,69.24
8417.36,288.28,75.09
8302.12,1320.41,309.78
8332.75,1026.84,315.96
8363.64,733.13,321.81
8394.28,439.67,327.74
8309.91,1177.98,568.52
8340.54,884.28,574.36
8371.18,590.81,580.3
8317.71,1035.65,827.02
8348.35,741.95,832.86
8265.28,972.48,-1295.27
8265.29,1127.88,-1044.1
8265.29,1283.04,-793.04
8265.28,1438.35,-541.64
8265.28,1593.51,-290.58
8214.19,1263.4,-1301.47
8214.2,1418.79,-1050.31
8214.19,1573.86,-799.01
8214.2,1729.26,-547.85
8163.11,1554.31,-1307.68
8163.1,1709.38,-1056.38
8163.11,1864.78,-805.22
8112.26,1844.88,-1313.74
8112.27,2000.28,-1062.58
7982.35,2367.17,1272.5
8041.8,2229.28,1018.02
8101.36,2091.79,763.65
8160.72,1954.03,509.38
8220.4,1816.21,254.96
8051.07,2079.83,1272.46
8110.42,1942.06,1018.18
8169.99,1804.58,763.81
8229.58,1666.89,509.59
8119.69,1792.62,1272.62
8179.28,1654.93,1018.4
8238.85,1517.45,764.03
8188.55,1505.48,1272.83
8248.11,1368,1018.47
7684.52,2652.26,-1812.71
7684.5,2496.81,-2063.94
7775.77,2837.19,-1059.21
7775.76,2681.73,-1310.43
7775.86,2526.69,-1561.54
7775.75,2371.36,-1812.57
7775.71,2216.11,-2063.94
7867,2556.29,-1059.06
7866.96,2401.04,-1310.43
7867.09,2245.79,-1561.4
7867.05,2090.54,-1812.77
7958.3,2275.46,-1059.26
7958.19,2120.13,-1310.29
7958.39,1964.96,-1561.6
8172.96,2034.61,-36.42
8081.73,2315.51,-36.57
7990.52,2596.21,-36.56
7899.2,2877.24,-36.51
7807.99,3157.93,-36.51
8121.29,2173.08,-292.22
8030.05,2453.98,-292.37
7938.76,2734.81,-292.17
7847.52,3015.71,-292.31
8069.61,2311.55,-548.02
7978.32,2592.37,-547.82
7887.08,2873.28,-547.97
8018.12,2450.02,-803.42
7926.88,2730.92,-803.57
8125.84,2174.58,255.1
7882.83,2871.77,510.4
7974.04,2591.07,510.4
8065.27,2310.17,510.55
7913.79,2726.6,765.71
8005.02,2445.7,765.85
